name,provider,scholarship_type,description,eligibility,benefits,deadline,url,country,degree_level,field_of_study,financial_need_required,source
Outstanding Performances in Sports and Extra-curricular Activities in the undergraduate period*,SLIIT,institutional,"Application - Once enrolled, student is to contact the Student Services division with the details of the achievements.",N/A,N/A,N/A,N/A,Sri Lanka,undergraduate,various,unknown,SLIIT
IFS – Merit-based Scholarships*,SLIIT,institutional,Eligible applications are called by the Faculty via the Courseweb,N/A,N/A,N/A,N/A,Sri Lanka,undergraduate,various,unknown,SLIIT
LOLC – Scholarships for SLIIT Undergraduates*,SLIIT,institutional,Eligible applications are called by the Faculty via the Courseweb,N/A,N/A,N/A,N/A,Sri Lanka,undergraduate,various,unknown,SLIIT
Phone,SLIIT,institutional,+94 11 754 4801,N/A,N/A,N/A,N/A,Sri Lanka,undergraduate,various,unknown,SLIIT
Email,SLIIT,institutional,info@sliit.lk,N/A,N/A,N/A,N/A,Sri Lanka,undergraduate,various,unknown,SLIIT
Address,SLIIT,institutional,"New Kandy Road, Malabe",N/A,N/A,N/A,https://www.sliit.lk,Sri Lanka,undergraduate,various,unknown,SLIIT
About SLIIT,SLIIT,institutional,AboutProgrammesFacilitiesContact Us,N/A,N/A,N/A,https://www.sliit.lk/about/about-sliit/,Sri Lanka,undergraduate,various,unknown,SLIIT
Main Events,SLIIT,institutional,Main EventsMathfestCodefestRobofestSoft Skills+Brain BustersCareer WeekOther Events,N/A,N/A,N/A,https://www.sliit.lk/annual-events/,Sri Lanka,undergraduate,various,unknown,SLIIT
Student Life,SLIIT,institutional,Career Guidance and CounselingClubs & SocietiesStudent EventsStudent AccommodationsSports,N/A,N/A,N/A,https://www.sliit.lk/student-life/career-guidance-and-counseling/,Sri Lanka,undergraduate,various,unknown,SLIIT
Quick Links,SLIIT,institutional,Guidelines for VisitorsStaff LoginStudent LoginCareersVirtual TourSitemap,N/A,N/A,N/A,https://www.sliit.lk/guidelines-for-visitors/,Sri Lanka,undergraduate,various,unknown,SLIIT
SUBSCRIBE OUR NEWSLETTER,SLIIT,institutional,1Step 1Enter Your EmailSubmitPreviousNext,N/A,N/A,N/A,http://www.weblankan.com/,Sri Lanka,undergraduate,various,unknown,SLIIT
Copyright 2023 © SLIIT. All Rights Reserved. Concept designed and developed byWeb Lankan,SLIIT,institutional,,N/A,N/A,N/A,http://www.weblankan.com/,Sri Lanka,undergraduate,various,unknown,SLIIT
