Timestamp,What is your current academic level?,What is your primary source of funding for your studies and living expenses?,What is your approximate monthly income/financial support? (in LKR),How much do you spend on TRANSPORTATION per month? (in LKR),Rate your comfort level with your current financial situation.,How would you rate the affordability of the following expenses in your area? [Accommodation (Rent/Housing)],How would you rate the affordability of the following expenses in your area? [Groceries/Food],"How would you rate the affordability of the following expenses in your area? [Course Materials (Books, supplies)]",How would you rate the affordability of the following expenses in your area? [Transportation],How would you rate the affordability of the following expenses in your area? [Social/Leisure Activities],In which areas do you wish you had more financial assistance or resources?,Approximately how many hours per week do you spend working (paid job)?,Please provide any additional comments on your student budget or financial challenges.
23/11/2025 21:46:28,Undergraduate,"Other (e.g., Freelancing)","LKR 25,001 - 35,000",4180,3,Very Affordable,Neutral,Very Unaffordable,Affordable,Unaffordable,Mental Health Services,0 hours,Financial stress is very high this semester.
13/11/2025 06:37:47,Postgraduate,Scholarship/Grants,Prefer not to say,5565,4,Affordable,Neutral,Affordable,Neutral,Affordable,"Mental Health Services, Tuition Fees, Emergency Funding",16-20 hours,The country sucks
30/10/2025 20:44:07,Undergraduate,Parental/Family Support,"More than LKR 75,000",15443,2,Unaffordable,Neutral,Neutral,Very Affordable,Very Affordable,"None of the above, Career Development Workshops, Tuition Fees",More than 20 hours,The country sucks
20/11/2025 13:46:10,Undergraduate,"Parental/Family Support, Scholarship/Grants","LKR 15,001 - 25,000",5465,2,Very Unaffordable,Very Unaffordable,Very Unaffordable,Neutral,Neutral,None of the above,6-10 hours,Scholarship funds are delayed.
13/11/2025 08:47:23,Undergraduate,"Other (e.g., Freelancing)","Less than LKR 15,000",513,4,Very Unaffordable,Very Unaffordable,Unaffordable,Unaffordable,Very Unaffordable,Tuition Fees,11-15 hours,
11/11/2025 11:34:25,Undergraduate,Parental/Family Support,"LKR 50,001 - 75,000",15878,1,Very Affordable,Unaffordable,Very Unaffordable,Unaffordable,Very Unaffordable,Tuition Fees,6-10 hours,Scholarship funds are delayed.
26/10/2025 03:00:50,Undergraduate,Parental/Family Support,"LKR 50,001 - 75,000",23599,2,Neutral,Very Affordable,Unaffordable,Unaffordable,Neutral,"Career Development Workshops, Emergency Funding",11-15 hours,
13/11/2025 13:50:07,Postgraduate,"Parental/Family Support, Scholarship/Grants",Prefer not to say,6869,2,Very Affordable,Affordable,Neutral,Neutral,Very Unaffordable,"Mental Health Services, Tuition Fees",1-5 hours,
07/11/2025 19:57:39,Postgraduate,"Other (e.g., Freelancing)","Less than LKR 15,000",511,1,Very Unaffordable,Neutral,Neutral,Affordable,Unaffordable,"Emergency Funding, Tuition Fees, Career Development Workshops",1-5 hours,
03/11/2025 05:41:15,Undergraduate,Parental/Family Support,"More than LKR 75,000",13127,5,Very Affordable,Very Unaffordable,Neutral,Very Unaffordable,Unaffordable,Accommodation,6-10 hours,Scholarship funds are delayed.
04/11/2025 19:34:41,Postgraduate,"Other (e.g., Freelancing), Savings, Part-time Job","LKR 25,001 - 35,000",5002,4,Neutral,Very Unaffordable,Affordable,Very Affordable,Very Unaffordable,Career Development Workshops,0 hours,
28/10/2025 00:28:54,Undergraduate,"Other (e.g., Freelancing), Student Loans","More than LKR 75,000",21114,5,Very Unaffordable,Very Unaffordable,Unaffordable,Affordable,Unaffordable,"None of the above, Emergency Funding",16-20 hours,
02/11/2025 04:24:38,Undergraduate,"Other (e.g., Freelancing), Parental/Family Support","LKR 25,001 - 35,000",1904,1,Affordable,Very Affordable,Unaffordable,Unaffordable,Affordable,"Career Development Workshops, Mental Health Services",More than 20 hours,Scholarship funds are delayed.
31/10/2025 18:57:32,Postgraduate,Part-time Job,"More than LKR 75,000",9595,2,Unaffordable,Very Affordable,Very Affordable,Affordable,Unaffordable,Tuition Fees,16-20 hours,Financial stress is very high this semester.
30/10/2025 20:42:55,Undergraduate,"Other (e.g., Freelancing), Student Loans, Part-time Job","LKR 25,001 - 35,000",8219,5,Very Unaffordable,Neutral,Unaffordable,Unaffordable,Unaffordable,"Accommodation, None of the above",0 hours,
26/10/2025 15:25:13,Undergraduate,"Savings, Scholarship/Grants, Parental/Family Support","LKR 35,001 - 50,000",5833,2,Affordable,Unaffordable,Unaffordable,Affordable,Unaffordable,"None of the above, Accommodation, Career Development Workshops",More than 20 hours,The country sucks
29/10/2025 06:20:01,Postgraduate,"Other (e.g., Freelancing)","Less than LKR 15,000",88,4,Neutral,Very Affordable,Neutral,Neutral,Affordable,"None of the above, Mental Health Services, Tuition Fees",More than 20 hours,I need to work more to cover rent.
11/11/2025 15:55:16,Postgraduate,"Scholarship/Grants, Savings, Other (e.g., Freelancing)","LKR 35,001 - 50,000",5159,4,Very Unaffordable,Affordable,Affordable,Affordable,Affordable,"Accommodation, Mental Health Services",0 hours,
29/10/2025 08:44:29,Postgraduate,"Student Loans, Savings, Parental/Family Support","Less than LKR 15,000",50,1,Very Unaffordable,Unaffordable,Neutral,Unaffordable,Affordable,"Accommodation, Tuition Fees",6-10 hours,
28/10/2025 18:43:11,Undergraduate,"Savings, Part-time Job","More than LKR 75,000",24962,3,Very Unaffordable,Very Unaffordable,Affordable,Neutral,Neutral,None of the above,More than 20 hours,I need to work more to cover rent.
03/11/2025 11:32:32,Postgraduate,"Other (e.g., Freelancing)","LKR 25,001 - 35,000",5728,3,Very Affordable,Neutral,Very Unaffordable,Very Unaffordable,Affordable,Career Development Workshops,6-10 hours,
25/10/2025 16:14:35,Undergraduate,"Student Loans, Other (e.g., Freelancing), Parental/Family Support",Prefer not to say,8959,3,Very Affordable,Affordable,Neutral,Unaffordable,Affordable,"Mental Health Services, Emergency Funding, Groceries/Food",11-15 hours,
01/11/2025 08:46:14,Undergraduate,"Scholarship/Grants, Part-time Job, Student Loans","LKR 35,001 - 50,000",8350,3,Very Unaffordable,Very Affordable,Affordable,Neutral,Very Unaffordable,Mental Health Services,11-15 hours,I need to work more to cover rent.
23/11/2025 15:11:40,Postgraduate,Savings,"LKR 35,001 - 50,000",9941,1,Unaffordable,Neutral,Neutral,Very Affordable,Unaffordable,None of the above,16-20 hours,
13/11/2025 20:24:21,Postgraduate,"Part-time Job, Other (e.g., Freelancing), Parental/Family Support","LKR 50,001 - 75,000",22620,2,Very Unaffordable,Very Unaffordable,Very Unaffordable,Very Affordable,Unaffordable,"Mental Health Services, Groceries/Food, Emergency Funding",6-10 hours,The country sucks
08/11/2025 22:21:27,Undergraduate,Scholarship/Grants,Prefer not to say,2887,1,Unaffordable,Unaffordable,Neutral,Affordable,Affordable,"Tuition Fees, Mental Health Services",6-10 hours,Scholarship funds are delayed.
06/11/2025 02:33:41,Postgraduate,"Parental/Family Support, Savings","Less than LKR 15,000",646,1,Unaffordable,Very Unaffordable,Unaffordable,Very Unaffordable,Very Affordable,"Mental Health Services, Career Development Workshops",1-5 hours,I need to work more to cover rent.
31/10/2025 04:33:36,Undergraduate,Scholarship/Grants,Prefer not to say,4045,1,Affordable,Affordable,Very Unaffordable,Affordable,Neutral,Groceries/Food,11-15 hours,The country sucks
13/11/2025 16:38:54,Postgraduate,"Other (e.g., Freelancing)","Less than LKR 15,000",182,3,Affordable,Unaffordable,Very Unaffordable,Neutral,Affordable,Groceries/Food,11-15 hours,Scholarship funds are delayed.
27/10/2025 01:01:45,Undergraduate,"Parental/Family Support, Savings, Student Loans","LKR 25,001 - 35,000",2350,3,Unaffordable,Very Affordable,Neutral,Very Unaffordable,Very Affordable,Career Development Workshops,1-5 hours,I need to work more to cover rent.
31/10/2025 15:06:42,Postgraduate,"Other (e.g., Freelancing), Part-time Job, Savings","More than LKR 75,000",28578,5,Affordable,Neutral,Very Unaffordable,Very Affordable,Very Affordable,"Mental Health Services, Career Development Workshops",6-10 hours,I need to work more to cover rent.
25/10/2025 20:49:08,Postgraduate,Savings,"LKR 25,001 - 35,000",7754,5,Unaffordable,Very Unaffordable,Unaffordable,Neutral,Very Unaffordable,"None of the above, Career Development Workshops, Emergency Funding",0 hours,
21/11/2025 00:54:15,Postgraduate,"Savings, Part-time Job","Less than LKR 15,000",408,3,Very Unaffordable,Neutral,Very Unaffordable,Neutral,Very Unaffordable,"Tuition Fees, Groceries/Food",16-20 hours,
03/11/2025 14:59:55,Postgraduate,Scholarship/Grants,"LKR 15,001 - 25,000",5294,3,Unaffordable,Unaffordable,Affordable,Neutral,Affordable,Accommodation,0 hours,
11/11/2025 16:56:20,Postgraduate,Student Loans,Prefer not to say,2676,3,Affordable,Very Unaffordable,Very Affordable,Unaffordable,Very Affordable,Accommodation,11-15 hours,I need to work more to cover rent.
02/11/2025 15:42:01,Postgraduate,"Parental/Family Support, Other (e.g., Freelancing), Savings","More than LKR 75,000",28176,4,Very Unaffordable,Very Unaffordable,Affordable,Unaffordable,Very Unaffordable,"Tuition Fees, Groceries/Food, Career Development Workshops",6-10 hours,The country sucks
04/11/2025 23:27:36,Postgraduate,"Savings, Other (e.g., Freelancing), Student Loans","Less than LKR 15,000",74,3,Affordable,Neutral,Very Unaffordable,Neutral,Affordable,"None of the above, Emergency Funding, Tuition Fees",More than 20 hours,I need to work more to cover rent.
08/11/2025 14:29:28,Postgraduate,"Other (e.g., Freelancing)",Prefer not to say,1248,1,Unaffordable,Very Unaffordable,Very Affordable,Very Unaffordable,Neutral,"Accommodation, Career Development Workshops, Mental Health Services",16-20 hours,The country sucks
14/11/2025 13:08:03,Undergraduate,Savings,"LKR 35,001 - 50,000",3104,1,Affordable,Unaffordable,Neutral,Affordable,Neutral,"Groceries/Food, None of the above",0 hours,The country sucks
20/11/2025 02:07:53,Undergraduate,"Student Loans, Parental/Family Support, Part-time Job","LKR 25,001 - 35,000",6821,5,Very Unaffordable,Very Affordable,Neutral,Affordable,Affordable,"Career Development Workshops, None of the above",0 hours,The country sucks
15/11/2025 22:34:45,Undergraduate,"Parental/Family Support, Savings","LKR 35,001 - 50,000",4230,3,Unaffordable,Neutral,Very Affordable,Very Unaffordable,Very Affordable,Career Development Workshops,6-10 hours,Financial stress is very high this semester.
11/11/2025 00:56:06,Undergraduate,Part-time Job,Prefer not to say,6615,1,Affordable,Affordable,Very Unaffordable,Affordable,Very Affordable,"Groceries/Food, Career Development Workshops, Mental Health Services",0 hours,I need to work more to cover rent.
11/11/2025 05:23:56,Undergraduate,"Scholarship/Grants, Student Loans","LKR 50,001 - 75,000",14639,2,Very Unaffordable,Neutral,Very Unaffordable,Very Unaffordable,Very Affordable,"Tuition Fees, Groceries/Food, None of the above",0 hours,
15/11/2025 01:41:16,Undergraduate,Part-time Job,"More than LKR 75,000",20048,4,Affordable,Unaffordable,Unaffordable,Unaffordable,Affordable,"Groceries/Food, Accommodation, None of the above",More than 20 hours,
10/11/2025 20:14:28,Undergraduate,"Scholarship/Grants, Savings",Prefer not to say,5912,5,Neutral,Unaffordable,Very Unaffordable,Neutral,Very Affordable,"Accommodation, Groceries/Food",More than 20 hours,
02/11/2025 22:36:54,Postgraduate,Scholarship/Grants,"LKR 15,001 - 25,000",1638,1,Very Affordable,Neutral,Very Unaffordable,Very Affordable,Unaffordable,"Emergency Funding, Tuition Fees",16-20 hours,Financial stress is very high this semester.
16/11/2025 11:35:23,Postgraduate,"Part-time Job, Savings, Parental/Family Support","More than LKR 75,000",6788,2,Neutral,Neutral,Very Unaffordable,Very Unaffordable,Unaffordable,"Tuition Fees, None of the above",1-5 hours,The country sucks
06/11/2025 23:32:54,Postgraduate,"Student Loans, Part-time Job","LKR 50,001 - 75,000",29702,5,Very Unaffordable,Neutral,Very Unaffordable,Affordable,Very Unaffordable,Accommodation,0 hours,
23/11/2025 15:50:04,Undergraduate,"Scholarship/Grants, Other (e.g., Freelancing)","LKR 50,001 - 75,000",21137,1,Very Affordable,Unaffordable,Neutral,Very Unaffordable,Very Unaffordable,"None of the above, Tuition Fees, Career Development Workshops",1-5 hours,
10/11/2025 20:06:20,Undergraduate,"Part-time Job, Savings, Scholarship/Grants","More than LKR 75,000",15984,1,Very Unaffordable,Very Affordable,Neutral,Very Unaffordable,Affordable,"Tuition Fees, Emergency Funding",16-20 hours,The country sucks
23/11/2025 06:42:29,Undergraduate,"Scholarship/Grants, Parental/Family Support","LKR 15,001 - 25,000",5460,1,Affordable,Unaffordable,Very Unaffordable,Very Unaffordable,Very Affordable,"Groceries/Food, Tuition Fees",16-20 hours,
23/11/2025 19:34:31,Postgraduate,"Parental/Family Support, Scholarship/Grants, Savings","LKR 15,001 - 25,000",6245,2,Very Affordable,Very Affordable,Affordable,Unaffordable,Unaffordable,"Groceries/Food, Career Development Workshops",0 hours,
11/11/2025 01:54:45,Postgraduate,"Parental/Family Support, Student Loans, Other (e.g., Freelancing)","More than LKR 75,000",25706,3,Unaffordable,Unaffordable,Unaffordable,Very Affordable,Affordable,"Mental Health Services, Emergency Funding, Career Development Workshops",More than 20 hours,
12/11/2025 15:24:07,Postgraduate,Savings,"More than LKR 75,000",16824,1,Affordable,Neutral,Unaffordable,Unaffordable,Affordable,"Mental Health Services, None of the above, Tuition Fees",More than 20 hours,The country sucks
07/11/2025 12:38:36,Postgraduate,Savings,"More than LKR 75,000",7025,5,Unaffordable,Very Affordable,Very Unaffordable,Very Affordable,Neutral,None of the above,More than 20 hours,
16/11/2025 07:57:15,Postgraduate,"Parental/Family Support, Scholarship/Grants, Other (e.g., Freelancing)","More than LKR 75,000",27411,3,Affordable,Very Affordable,Very Affordable,Neutral,Very Affordable,"Accommodation, Career Development Workshops",6-10 hours,I need to work more to cover rent.
30/10/2025 00:24:31,Undergraduate,Savings,"LKR 25,001 - 35,000",2765,3,Very Affordable,Very Affordable,Neutral,Very Unaffordable,Very Affordable,Accommodation,0 hours,I need to work more to cover rent.
13/11/2025 14:35:07,Postgraduate,"Student Loans, Scholarship/Grants","Less than LKR 15,000",893,2,Neutral,Unaffordable,Affordable,Very Unaffordable,Very Affordable,"Accommodation, Tuition Fees, Groceries/Food",16-20 hours,
04/11/2025 22:22:19,Postgraduate,"Part-time Job, Other (e.g., Freelancing)","LKR 35,001 - 50,000",9269,5,Affordable,Very Affordable,Very Affordable,Very Affordable,Very Affordable,"Mental Health Services, Career Development Workshops, Tuition Fees",11-15 hours,
29/10/2025 14:09:29,Undergraduate,"Part-time Job, Savings","LKR 15,001 - 25,000",2404,3,Neutral,Very Affordable,Very Unaffordable,Neutral,Neutral,"Career Development Workshops, Groceries/Food, Emergency Funding",6-10 hours,Scholarship funds are delayed.
01/11/2025 20:28:25,Undergraduate,Student Loans,Prefer not to say,2625,1,Unaffordable,Very Unaffordable,Neutral,Unaffordable,Affordable,"Accommodation, Emergency Funding",6-10 hours,The country sucks
28/10/2025 03:21:28,Undergraduate,"Savings, Parental/Family Support","LKR 15,001 - 25,000",8111,3,Very Affordable,Very Affordable,Unaffordable,Affordable,Very Affordable,Mental Health Services,6-10 hours,Scholarship funds are delayed.
15/11/2025 07:12:30,Postgraduate,"Savings, Parental/Family Support, Scholarship/Grants","LKR 15,001 - 25,000",5390,1,Very Affordable,Affordable,Very Unaffordable,Neutral,Neutral,"Mental Health Services, None of the above",More than 20 hours,I need to work more to cover rent.
29/10/2025 04:41:30,Postgraduate,Parental/Family Support,"More than LKR 75,000",13486,5,Neutral,Very Affordable,Unaffordable,Neutral,Neutral,"None of the above, Mental Health Services, Accommodation",6-10 hours,Financial stress is very high this semester.
30/10/2025 14:15:30,Undergraduate,"Student Loans, Savings","LKR 15,001 - 25,000",2680,1,Affordable,Very Unaffordable,Very Unaffordable,Unaffordable,Neutral,"Career Development Workshops, Tuition Fees",More than 20 hours,
19/11/2025 04:15:19,Undergraduate,"Student Loans, Other (e.g., Freelancing), Scholarship/Grants","Less than LKR 15,000",781,2,Very Affordable,Affordable,Neutral,Very Affordable,Very Affordable,"Mental Health Services, Career Development Workshops",1-5 hours,
14/11/2025 05:16:05,Undergraduate,Student Loans,"LKR 15,001 - 25,000",6482,2,Very Affordable,Unaffordable,Unaffordable,Very Affordable,Very Unaffordable,None of the above,More than 20 hours,
17/11/2025 16:31:37,Undergraduate,Savings,"LKR 35,001 - 50,000",2371,1,Affordable,Affordable,Very Unaffordable,Affordable,Affordable,"Accommodation, Emergency Funding",1-5 hours,I need to work more to cover rent.
14/11/2025 19:00:52,Undergraduate,Scholarship/Grants,Prefer not to say,6546,5,Unaffordable,Neutral,Unaffordable,Neutral,Unaffordable,"Mental Health Services, None of the above",11-15 hours,
10/11/2025 12:23:24,Undergraduate,"Part-time Job, Student Loans, Parental/Family Support","LKR 25,001 - 35,000",2817,5,Unaffordable,Neutral,Affordable,Neutral,Affordable,"Mental Health Services, Accommodation, Emergency Funding",More than 20 hours,
25/10/2025 20:03:45,Postgraduate,Scholarship/Grants,"LKR 35,001 - 50,000",9681,5,Neutral,Unaffordable,Affordable,Neutral,Very Affordable,"Tuition Fees, Accommodation",11-15 hours,I need to work more to cover rent.
20/11/2025 09:53:08,Postgraduate,"Part-time Job, Other (e.g., Freelancing)","LKR 50,001 - 75,000",8326,3,Unaffordable,Unaffordable,Neutral,Affordable,Very Unaffordable,"None of the above, Tuition Fees",More than 20 hours,
06/11/2025 03:17:41,Postgraduate,Savings,"LKR 25,001 - 35,000",8245,4,Unaffordable,Neutral,Very Affordable,Unaffordable,Affordable,Tuition Fees,More than 20 hours,I need to work more to cover rent.
11/11/2025 20:54:41,Undergraduate,Savings,Prefer not to say,5085,4,Unaffordable,Unaffordable,Very Affordable,Very Affordable,Very Affordable,"Groceries/Food, Tuition Fees",11-15 hours,
16/11/2025 05:06:39,Undergraduate,"Other (e.g., Freelancing), Part-time Job","LKR 50,001 - 75,000",8797,1,Very Affordable,Unaffordable,Affordable,Very Affordable,Neutral,"Emergency Funding, None of the above",1-5 hours,Financial stress is very high this semester.
30/10/2025 14:39:30,Postgraduate,"Other (e.g., Freelancing)","LKR 50,001 - 75,000",18010,3,Affordable,Unaffordable,Very Unaffordable,Very Unaffordable,Very Affordable,"Emergency Funding, Tuition Fees",1-5 hours,I need to work more to cover rent.
05/11/2025 06:59:27,Postgraduate,"Part-time Job, Student Loans, Scholarship/Grants","LKR 25,001 - 35,000",4601,4,Neutral,Very Unaffordable,Very Affordable,Neutral,Unaffordable,"Groceries/Food, None of the above",11-15 hours,Financial stress is very high this semester.
04/11/2025 09:32:39,Postgraduate,"Student Loans, Scholarship/Grants, Parental/Family Support","More than LKR 75,000",25789,5,Very Unaffordable,Neutral,Very Affordable,Affordable,Very Unaffordable,"Accommodation, Tuition Fees",16-20 hours,
15/11/2025 18:46:13,Postgraduate,"Scholarship/Grants, Other (e.g., Freelancing)","More than LKR 75,000",10172,1,Affordable,Unaffordable,Unaffordable,Very Affordable,Unaffordable,"Mental Health Services, Tuition Fees",16-20 hours,The country sucks
08/11/2025 07:48:36,Undergraduate,"Other (e.g., Freelancing)","LKR 15,001 - 25,000",3798,4,Affordable,Unaffordable,Neutral,Neutral,Affordable,"Tuition Fees, None of the above",0 hours,
12/11/2025 23:54:22,Postgraduate,"Scholarship/Grants, Part-time Job","LKR 15,001 - 25,000",7150,5,Unaffordable,Very Affordable,Very Unaffordable,Unaffordable,Very Affordable,"Mental Health Services, Career Development Workshops",0 hours,Scholarship funds are delayed.
15/11/2025 02:38:43,Postgraduate,"Other (e.g., Freelancing), Scholarship/Grants, Part-time Job",Prefer not to say,3169,2,Very Unaffordable,Neutral,Very Unaffordable,Affordable,Very Affordable,Mental Health Services,More than 20 hours,
31/10/2025 12:04:05,Undergraduate,"Other (e.g., Freelancing), Part-time Job, Parental/Family Support","LKR 35,001 - 50,000",8441,2,Unaffordable,Affordable,Neutral,Neutral,Neutral,None of the above,16-20 hours,
21/11/2025 06:30:20,Undergraduate,"Part-time Job, Other (e.g., Freelancing)","LKR 50,001 - 75,000",17014,4,Affordable,Neutral,Neutral,Very Affordable,Neutral,"Career Development Workshops, Mental Health Services, Accommodation",1-5 hours,
26/10/2025 19:24:57,Undergraduate,"Savings, Scholarship/Grants","LKR 35,001 - 50,000",5391,3,Very Unaffordable,Very Affordable,Unaffordable,Affordable,Very Unaffordable,Tuition Fees,16-20 hours,Financial stress is very high this semester.
19/11/2025 14:51:21,Postgraduate,"Other (e.g., Freelancing), Student Loans","LKR 15,001 - 25,000",3083,4,Neutral,Affordable,Affordable,Very Unaffordable,Very Affordable,"Groceries/Food, Emergency Funding",16-20 hours,
08/11/2025 13:35:44,Undergraduate,"Student Loans, Other (e.g., Freelancing)","LKR 50,001 - 75,000",24569,2,Unaffordable,Affordable,Very Unaffordable,Affordable,Unaffordable,Accommodation,More than 20 hours,I need to work more to cover rent.
05/11/2025 18:13:19,Undergraduate,"Parental/Family Support, Savings, Other (e.g., Freelancing)","More than LKR 75,000",29881,4,Very Unaffordable,Unaffordable,Unaffordable,Very Affordable,Neutral,"Career Development Workshops, Tuition Fees, Accommodation",More than 20 hours,
31/10/2025 12:06:57,Undergraduate,Part-time Job,"LKR 25,001 - 35,000",2827,1,Very Unaffordable,Neutral,Very Affordable,Affordable,Neutral,"Groceries/Food, Career Development Workshops",1-5 hours,I need to work more to cover rent.
29/10/2025 09:48:15,Postgraduate,Scholarship/Grants,"LKR 50,001 - 75,000",12822,2,Unaffordable,Unaffordable,Unaffordable,Very Affordable,Affordable,"Mental Health Services, Accommodation",16-20 hours,I need to work more to cover rent.
03/11/2025 13:18:23,Undergraduate,Parental/Family Support,Prefer not to say,2949,4,Unaffordable,Very Affordable,Neutral,Very Affordable,Neutral,Emergency Funding,0 hours,I need to work more to cover rent.
19/11/2025 04:56:22,Postgraduate,"Student Loans, Savings","LKR 25,001 - 35,000",1097,1,Neutral,Unaffordable,Unaffordable,Very Affordable,Very Affordable,"Accommodation, Groceries/Food, None of the above",11-15 hours,
13/11/2025 08:48:38,Postgraduate,"Part-time Job, Scholarship/Grants","LKR 15,001 - 25,000",9584,1,Very Affordable,Unaffordable,Very Unaffordable,Very Affordable,Affordable,"Emergency Funding, None of the above",11-15 hours,Financial stress is very high this semester.
21/11/2025 17:19:25,Postgraduate,"Scholarship/Grants, Part-time Job","Less than LKR 15,000",807,3,Neutral,Neutral,Very Affordable,Very Unaffordable,Unaffordable,Groceries/Food,0 hours,Scholarship funds are delayed.
23/11/2025 23:53:05,Undergraduate,Student Loans,Prefer not to say,8118,2,Neutral,Affordable,Very Unaffordable,Very Affordable,Very Affordable,"Career Development Workshops, Mental Health Services",11-15 hours,The country sucks
10/11/2025 06:23:37,Undergraduate,Student Loans,"LKR 25,001 - 35,000",9859,2,Affordable,Affordable,Unaffordable,Neutral,Very Unaffordable,"None of the above, Emergency Funding",11-15 hours,Financial stress is very high this semester.
04/11/2025 21:54:23,Undergraduate,"Savings, Parental/Family Support, Student Loans","More than LKR 75,000",20718,4,Very Unaffordable,Neutral,Very Affordable,Unaffordable,Very Unaffordable,Career Development Workshops,6-10 hours,
31/10/2025 00:00:46,Postgraduate,Part-time Job,"LKR 35,001 - 50,000",1961,5,Very Unaffordable,Affordable,Very Unaffordable,Neutral,Affordable,"Groceries/Food, Tuition Fees",1-5 hours,Scholarship funds are delayed.
23/11/2025 12:16:55,Postgraduate,"Student Loans, Scholarship/Grants","LKR 50,001 - 75,000",11654,1,Very Affordable,Very Unaffordable,Affordable,Very Affordable,Unaffordable,"Career Development Workshops, None of the above, Mental Health Services",6-10 hours,
01/11/2025 06:17:32,Postgraduate,Student Loans,"LKR 50,001 - 75,000",25142,1,Unaffordable,Neutral,Unaffordable,Very Unaffordable,Very Unaffordable,"Tuition Fees, Mental Health Services, Career Development Workshops",11-15 hours,
19/11/2025 10:53:56,Postgraduate,Parental/Family Support,"LKR 25,001 - 35,000",1104,2,Very Affordable,Very Unaffordable,Unaffordable,Very Affordable,Very Unaffordable,"None of the above, Tuition Fees",6-10 hours,I need to work more to cover rent.
16/11/2025 13:02:47,Undergraduate,"Scholarship/Grants, Part-time Job, Parental/Family Support","LKR 15,001 - 25,000",8774,3,Neutral,Very Affordable,Neutral,Neutral,Neutral,"Groceries/Food, None of the above",16-20 hours,Financial stress is very high this semester.
30/10/2025 18:13:03,Undergraduate,"Other (e.g., Freelancing)","LKR 25,001 - 35,000",8452,5,Very Unaffordable,Very Affordable,Unaffordable,Neutral,Very Unaffordable,"Tuition Fees, Emergency Funding, Career Development Workshops",0 hours,
02/11/2025 04:48:06,Postgraduate,Parental/Family Support,"LKR 25,001 - 35,000",4613,2,Very Affordable,Very Affordable,Affordable,Unaffordable,Neutral,Emergency Funding,1-5 hours,Financial stress is very high this semester.
13/11/2025 21:55:35,Undergraduate,Student Loans,"LKR 15,001 - 25,000",9740,3,Unaffordable,Unaffordable,Unaffordable,Very Unaffordable,Neutral,None of the above,0 hours,Financial stress is very high this semester.
15/11/2025 21:30:18,Undergraduate,"Parental/Family Support, Part-time Job, Other (e.g., Freelancing)","LKR 35,001 - 50,000",8744,3,Very Affordable,Neutral,Neutral,Very Affordable,Neutral,None of the above,11-15 hours,
08/11/2025 22:28:05,Postgraduate,Parental/Family Support,Prefer not to say,8883,4,Unaffordable,Affordable,Very Unaffordable,Neutral,Unaffordable,Career Development Workshops,16-20 hours,Financial stress is very high this semester.
30/10/2025 23:40:51,Postgraduate,"Other (e.g., Freelancing)","LKR 15,001 - 25,000",8318,4,Unaffordable,Very Affordable,Very Unaffordable,Very Affordable,Unaffordable,"Accommodation, Mental Health Services, None of the above",0 hours,
10/11/2025 11:00:41,Undergraduate,"Scholarship/Grants, Student Loans, Other (e.g., Freelancing)","Less than LKR 15,000",565,1,Neutral,Very Affordable,Very Unaffordable,Neutral,Neutral,"Mental Health Services, Emergency Funding",More than 20 hours,Scholarship funds are delayed.
29/10/2025 15:20:08,Undergraduate,"Scholarship/Grants, Savings, Other (e.g., Freelancing)","More than LKR 75,000",5217,4,Unaffordable,Affordable,Affordable,Very Unaffordable,Very Unaffordable,Mental Health Services,6-10 hours,Scholarship funds are delayed.
22/11/2025 16:28:41,Postgraduate,"Student Loans, Scholarship/Grants","LKR 25,001 - 35,000",6901,2,Neutral,Very Unaffordable,Affordable,Affordable,Neutral,Emergency Funding,More than 20 hours,
16/11/2025 16:40:25,Undergraduate,Part-time Job,"Less than LKR 15,000",478,1,Very Unaffordable,Very Affordable,Neutral,Affordable,Neutral,"Groceries/Food, Mental Health Services",6-10 hours,The country sucks
30/10/2025 17:11:19,Undergraduate,"Scholarship/Grants, Student Loans",Prefer not to say,2774,4,Affordable,Neutral,Affordable,Neutral,Unaffordable,"Emergency Funding, Accommodation",16-20 hours,
22/11/2025 19:56:38,Undergraduate,"Scholarship/Grants, Savings","LKR 15,001 - 25,000",5559,2,Neutral,Very Unaffordable,Neutral,Affordable,Neutral,Accommodation,0 hours,
15/11/2025 01:50:25,Undergraduate,"Part-time Job, Scholarship/Grants, Savings","More than LKR 75,000",21255,2,Unaffordable,Very Unaffordable,Very Affordable,Very Affordable,Affordable,Accommodation,0 hours,Scholarship funds are delayed.
21/11/2025 20:27:16,Postgraduate,Part-time Job,Prefer not to say,2828,5,Affordable,Unaffordable,Unaffordable,Very Affordable,Affordable,"Groceries/Food, Accommodation",0 hours,Financial stress is very high this semester.
09/11/2025 11:08:11,Undergraduate,"Other (e.g., Freelancing), Part-time Job, Parental/Family Support","More than LKR 75,000",13991,5,Affordable,Neutral,Very Affordable,Affordable,Very Unaffordable,Groceries/Food,0 hours,Financial stress is very high this semester.
13/11/2025 11:35:50,Undergraduate,"Savings, Scholarship/Grants","Less than LKR 15,000",162,3,Neutral,Neutral,Very Unaffordable,Affordable,Very Affordable,Groceries/Food,More than 20 hours,The country sucks
18/11/2025 17:05:03,Postgraduate,"Student Loans, Savings","LKR 50,001 - 75,000",8490,3,Very Affordable,Affordable,Very Affordable,Very Unaffordable,Neutral,"Tuition Fees, Emergency Funding, Accommodation",16-20 hours,Scholarship funds are delayed.
